"","Title","Year","Age","IMDb","Rotten_Tomatoes","Streamings","Genre"
"67","The Twilight Zone",1959,"7+",9,82,"Netflix",NA
"68","YOU",2018,"18+",7.8,91,"Netflix",NA
"69","Sex Education",2019,"16+",8.3,94,"Netflix","British TV Shows, International TV Shows, TV Comedies"
"70","Star Trek: The Next Generation",1987,"7+",8.6,89,"Netflix, Prime","TV Action & Adventure, TV Sci-Fi & Fantasy"
"71","Broadchurch",2013,"18+",8.4,92,"Netflix","British TV Shows, Crime TV Shows, International TV Shows"
"72","Kingdom",2019,"18+",8.4,96,"Netflix","TV Dramas"
"73","Altered Carbon",2018,"18+",8.1,64,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"74","The Sinner",2017,"16+",8,95,"Netflix","Crime TV Shows, TV Dramas, TV Mysteries"
"75","Marvel's Jessica Jones",2015,"18+",8,83,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"76","New Girl",2011,"16+",7.7,94,"Netflix","Romantic TV Shows, TV Comedies"
"77","The Good Wife",2009,"16+",8.3,94,"Netflix, Prime","Drama"
"78","The Umbrella Academy",2019,"16+",7.9,77,"Netflix","TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy"
"79","Marvel's The Punisher",2017,"18+",8.5,63,"Netflix","Crime TV Shows, TV Action & Adventure, TV Thrillers"
"80","Ash vs Evil Dead",2015,"18+",8.4,99,"Netflix",NA
"81","Master of None",2015,"18+",8.3,100,"Netflix","TV Comedies"
"82","Bodyguard",2018,"18+",8.1,93,"Netflix","Action & Adventure, Comedies, International Movies"
"83","Schitt's Creek",2015,"16+",8.4,50,"Netflix, Prime","TV Comedies"
"84","Narcos: Mexico",2018,"18+",8.4,88,"Netflix","Crime TV Shows, TV Action & Adventure, TV Dramas"
"85","The West Wing",1999,"16+",8.8,75,"Netflix","TV Dramas"
"86","Bates Motel",2013,"18+",8.2,93,"Netflix","Crime TV Shows, TV Dramas, TV Horror"
"87","Bates Motel",2013,"18+",8.2,93,"Netflix","Drama, Horror, Suspense"
"88","Atypical",2017,"18+",8.3,87,"Netflix","TV Comedies, TV Dramas, Teen TV Shows"
